1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
TEMF,1.2007417e-05,4.1213336e-05,5.648683e-06,0.0,0.000147724416,4.553081e-06,0.0,0.0,9.76643e-06,2.8747006e-05,0.001012493056,9.2841424e-05,0.0,0.00022541944,0.0015804143223993195
DEFO,0.0,0.0,1.175361e-05,0.0005301568,0.000555503104,0.0,0.0,0.003170037248,0.0,0.0,0.001053201216,0.002632803328,0.000139917568,5.5841536e-05,0.008149214563700668
PEAT,1.83917265625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97821171875e-08,1.52834619140625e-09,0.0,7.4809609375e-08,0.0,1.4451179317283e-07
AGRI,2.0876755e-06,0.000436838272,0.000527022144,0.000410192192,0.001145624448,1.9239314e-05,3.0995705e-06,0.00790701056,0.000134361248,1.4267818e-05,0.000291483424,0.001475409152,7.9377272e-05,0.000116399888,0.012577959485880124
All sources,0.10143306606728054,0.013983579984899096,0.01693643457521236,0.02754233873629806,0.3444200222973813,0.009328936269992752,0.0022607912419934082,0.34321761492207914,0.5423166361447906,0.05286611923235197,0.07557171477457468,0.1563649331322153,0.12688691448101413,0.09879118395289849,1.9126701879214192

2005
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,2.8853565625e-07,0.00013279972,0.000111721968,0.00155130496,0.002063197568,5.9062285e-06,3.89875425e-06,0.108079620096,0.002363201536,0.0,0.0002723208,0.000425294912,9.1766808e-05,0.003241591808,0.11835750599483293
BORF,9.818971e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9084671875e-07,0.0,0.0,0.0,0.0,1.0109818052209764e-05
TEMF,3.1990722e-05,5.8804124e-05,5.39651e-07,0.0,0.00019962376,5.0400805e-06,2.73010675e-06,0.0,1.6580018e-05,0.0,0.000695619392,0.000152550288,0.0,0.000311266336,0.0014747445043609615
DEFO,0.0,0.0,4.0647208e-05,0.000100256904,7.0455008e-05,0.0,0.0,0.005808824832,0.00033971632,0.0,0.000353374336,2.7310904e-05,0.0,0.001041124672,0.007781709620367355
PEAT,2.7811447265625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7811449262682977e-08
AGRI,2.029566e-06,0.00043378672,0.000246225056,0.000103845048,0.000406508416,7.8456635e-06,2.0211316e-05,0.0136902144,0.000491082336,2.27401421875e-07,0.000314785504,0.000360700992,2.282883e-05,8.5919824e-05,0.016189408564511884
