1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.005604556288,0.008237324288,0.1877807104,0.722754142208,0.0,0.0,15.650900672512,0.110501134336,0.0,0.022754895872,0.09231151104,0.0,0.595818840064,17.396786189144816
BORF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEMF,0.0,0.000608748352,0.0,0.0,0.0724103168,0.0,0.0,0.0,0.0,0.0,0.0034603136,0.0,0.0,0.008779200512,0.0852585770815255
DEFO,0.0,0.0,0.002602419968,0.007433957888,0.114717114368,0.0,0.0,1.23797766144,0.0,0.0,0.017353670656,0.03784654848,0.0,0.0,1.4179313509358056
PEAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRI,0.0,0.019440017408,0.0150644736,0.013676270592,0.114848079872,0.0,0.0,1.152255393792,0.014367940608,0.0,0.02580757504,0.02306244608,0.0,0.001025761984,1.3811082388386193
All sources,5.523845725087099,3.4233495406526306,9.256392178642088,5.2191408907345025,29.131511047421142,3.5201016535837057,0.2912549623411099,77.61407513501275,77.35040347418573,28.712728220288753,9.119671622232968,16.108549631063568,6.324496774327677,16.637849186160032,288.3000609364727

2001
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.2816364e-05,0.009144562688,0.014457235456,0.129126498304,0.368052109312,0.020848001024,0.000627442176,18.785872379904,0.419405365248,0.000382076384,0.022368759808,0.12043472896,0.01371482624,1.37972088832,21.28420719251629
BORF,0.002484228608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248422854719034
TEMF,0.00533241344,0.009776422912,0.0,0.0,0.05480206336,0.001679408128,0.0,0.0,0.001303178368,0.006741327872,0.07907168256,0.03236501504,0.0,1.182824398848,1.3738958437338271
DEFO,0.0,0.0,0.001459771392,0.006889878016,0.0065926144,0.0,0.0,0.84974436352,0.192206569472,0.0,0.00080472544,0.014848925696,0.0,0.05132990464,1.1238767173869362
PEAT,0.000204428992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020442898637310292
AGRI,0.000575302016,0.03422225408,0.025782593536,0.02034946048,0.06565830656,0.0064134528,0.000202926096,1.019846787072,0.055968264192,0.001235669504,0.014512355328,0.04805443584,0.00439495424,0.018212757504,1.3156513439547353
All sources,3.0369317298893646,1.8941931772974425,2.6130843231159866,5.679364579266258,26.48071414673067,2.1099195841911604,0.2685117455465037,65.05265726239328,104.79363111664752,26.055806755811368,11.029806321487913,9.834112353822071,9.0551892654877,24.39541384127818,292.5083541274204

2002
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9.8446176e-05,0.003947013888,0.016916343808,0.34187624448,0.665533415424,0.000462957632,0.00170616896,19.748993630208,0.168609923072,0.0,0.008146400768,0.125350592512,0.069442060288,1.460996538368,22.6125503112773
BORF,0.002426370048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002426369981757187
