1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
DEFO,0.0,0.0,2.9118936e-05,0.000172539968,0.000611039296,0.0,0.0,0.003514442752,2.011046875e-07,0.0,0.0,8.6870536e-05,0.00058948928,0.000378751232,0.0053824531877860755
PEAT,3.865345e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.865344961718223e-07
AGRI,1.7459352e-05,7.8058784e-05,0.000124635568,0.000111121024,0.000448722912,2.26546890625e-07,2.07597525e-06,0.005810366464,0.00010651228,4.1913978125e-07,6.6377928e-05,0.00015307696,5.2244856e-05,4.832844e-05,0.007024082485024817
All sources,0.18613173126700994,0.029290577249265405,0.02026012371625881,0.021777003487189427,0.2965081192438365,0.00542922497397556,0.0012898158752272847,0.4811711424608266,0.6214646530727695,0.35084189919706305,0.09138930413138603,0.07458289877122337,0.20870975633679908,0.18620208835397561,2.5755943028589585

2003
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.935041015625e-08,5.7033864e-05,0.00016989424,0.001031178048,0.003749129984,2.71062525e-06,2.26157475e-06,0.152337793024,0.001597870208,9.588084375e-07,0.0003697216,0.002563602688,0.000210482208,0.001680167936,0.163773793486964
BORF,2.101092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13843125e-07,0.0,0.0,0.0,0.0,2.132476260058482e-05
TEMF,3.9217056e-05,8.17928e-05,4.134145e-07,0.0,0.000198750704,5.6831075e-06,2.30024975e-06,0.0,7.2351512e-05,7.098812e-06,0.001647079552,5.2501804e-05,0.0,0.00095756416,0.0030647530163181694
DEFO,0.0,0.0,3.0133158e-05,0.000495419168,3.4893756e-05,0.0,0.0,0.002442691072,4.4664216e-05,0.0,0.000311049024,0.000162918592,4.9037836e-05,1.729667e-05,0.0035881033242695123
PEAT,4.3154225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92744873046875e-09,0.0,0.0,0.0,0.0,4.384697124767165e-07
AGRI,1.224295e-07,0.000178276544,0.00018292464,5.1720944e-05,0.00022281312,3.04350625e-06,2.085940125e-06,0.004243786496,0.000118205232,1.606372875e-06,0.000158058176,0.000465407104,3.444276e-05,3.8501796e-05,0.005701407686486157
All sources,0.11346115744458476,0.024412488616474586,0.057557530888677565,0.05403654381399529,0.2385397614980621,0.010970778350964579,0.0014951673863621176,0.43921192887204813,0.6604360104535811,0.5963006750366593,0.0746643976383825,0.09285216441164075,0.057199406535126285,0.17589279306645464,2.5974806828566734

2004
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,8.95556e-05,0.000229704016,0.00286398208,0.005625160704,7.0667825e-06,6.6765865e-06,0.1217304576,0.001100876544,4.3253575e-06,0.00045805616,0.0074652032,0.00037575232,0.007890750464,0.14784917513236956
BORF,2.2718608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4525535e-06,1.5866139e-05,0.0,0.0,0.0,4.603730061210873e-05
TEMF,2.6416316e-05,9.0669352e-05,1.2427103e-05,0.0,0.00032499376,1.0016778e-05,0.0,0.0,2.1486148e-05,6.3243412e-05,0.002227484672,0.000204251136,0.0,0.000495922848,0.003476911579872252
DEFO,0.0,0.0,9.041239e-06,0.00040781296,0.000427310144,0.0,0.0,0.002438490624,0.0,0.0,0.000810154752,0.00202523328,0.000107628912,4.2955032e-05,0.0062686269126614935
PEAT,1.8391728125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.978211875e-07,1.52834609375e-08,0.0,7.480960625e-07,0.0,1.4451179885399405e-06
AGRI,1.113426875e-06,0.000232980416,0.000281078496,0.0002187692,0.00061099968,1.0260969e-05,1.65310425e-06,0.004217072384,7.1659336e-05,7.609502e-06,0.000155457824,0.000786884864,4.2334548e-05,6.2079936e-05,0.006708245171301942
All sources,0.22347021248824528,0.0163688295992689,0.013814532499551975,0.03091134791073113,0.33734282040760166,0.006591291322579638,0.0015869397478854546,0.4040258212192994,0.6552714344692347,0.07906739124127335,0.07698672242786463,0.16547127574305165,0.14149741051853426,0.12666802790609502,2.2795456588944774

2005
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.743165e-07,0.000172280704,0.000144936624,0.00201250368,0.002676580352,7.6621345e-06,5.057843e-06,0.140211388416,0.003065775872,0.0,0.00035328096,0.000551733952,0.000119048824,0.004205307648,0.15354486730091202
BORF,2.1601736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.398628125e-07,0.0,0.0,0.0,0.0,2.224160003980899e-05
TEMF,7.0379584e-05,0.000129369072,1.187232125e-06,0.0,0.000439172288,1.1088177e-05,6.006235e-06,0.0,3.647604e-05,0.0,0.00153036288,0.000335610656,0.0,0.000684785984,0.003244437980181298
DEFO,0.0,0.0,3.1267086e-05,7.7120704e-05,5.4196164e-05,0.0,0.0,0.0044683264,0.000261320288,0.0,0.000271826432,2.100839e-05,0.0,0.00080086528,0.0059859307611576556
PEAT,2.781145e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7811450043566495e-07
AGRI,1.082435125e-06,0.000231352912,0.000131320048,5.538402e-05,0.000216804496,4.18435425e-06,1.077937e-05,0.007301448704,0.000261910592,1.212807578125e-07,0.000167885616,0.00019237384,1.2175378e-05,4.5823908e-05,0.008634351384193169
All sources,0.15015889637041396,0.019801701655572008,0.047290495165325734,0.02301484663385227,0.4029086910993932,0.009204672383162036,0.0015647240219220974,0.49331370460925933,0.6892634913169953,0.12598609622403176,0.06619244967516144,0.1269400892034957,0.0654298401146962,0.07098333386745576,2.2925880652207558

2006
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.644053e-06,0.000102377696,9.9823088e-05,0.001935235456,0.00229422976,5.1186935e-06,3.19267925e-06,0.14659657728,0.001526587264,1.106519125e-06,0.000228782544,0.00276002048,0.000542085824,0.008864924672,0.16496876085437534
BORF,7.9819712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.981972266965974e-05
TEMF,9.7267832e-05,5.6195092e-05,0.0,0.0,0.000208657648,2.182337e-05,0.0,0.0,2.83175e-05,1.222874e-05,0.001539763712,0.000139916912,0.0,0.04278562816,0.0448900157004953
DEFO,0.0,0.0,3.422872e-06,2.32222e-05,9.7849904e-05,0.0,0.0,0.004787282944,9.426846e-06,0.0,7.971656e-05,0.000480693568,0.00092354944,3.2941816e-05,0.0064381062937515264
PEAT,1.67199075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6719908227400292e-06
AGRI,7.320035625e-07,0.000173349744,0.000110316,7.6186728e-05,0.000360872352,3.0062122e-05,5.741546e-06,0.00734122496,7.4093256e-05,1.9296152e-05,0.000106312224,0.00049651632,5.8306868e-05,0.000114351216,0.008979883116046115
